Sr. No.,Sector Name,Line Ministry,Implementing Agency,Project Code,Project Name,Original Cost (in cr.),Revised Cost (in cr.),Expenditure (in cr.),Physical Progress (in %),Original Date of Commissioning,Revised Date of Commissioning,Sanction Date,has_cost_revision,has_schedule_revision,cost_overrun_pct,expenditure_ratio,schedule_extension_days
Sr. No.,Sector Name,Line Ministry,Implementing Agency,Project Code,Project Name,,,,,,,,0,1,,,
1,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],706718,C/o NITB Imphal Airport,499.0,499.0,212.17,53.0,2024-07-13,2026-12-31,2021-11-01,1,1,0.0,0.42519038076152305,901.0
2,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,347.0,,189.48,96.0,2025-08-13,2026-08-25,2022-12-30,0,1,,0.5460518731988472,377.0
3,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",1217.0,1216.9,1203.48,99.0,2026-05-31,2026-08-31,2018-10-04,1,1,-0.00821692686934339,0.9889719779768263,92.0
4,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,322.0,,240.99,97.0,2026-02-01,2026-08-31,2023-06-02,0,1,,0.748416149068323,211.0
5,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,320.0,,169.11,88.0,2026-01-21,2026-09-30,2023-06-02,0,1,,0.52846875,252.0
6,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",266.0,,176.38,80.0,2026-01-27,2026-09-30,2023-03-10,0,1,,0.6630827067669173,246.0
7,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,887.0,887.0,587.22,79.0,2026-03-10,2026-09-26,2023-06-21,1,1,0.0,0.6620293122886133,200.0
8,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,612.0,824.28,572.99,90.0,2022-09-04,2026-11-10,2020-06-17,1,1,34.686274509803916,0.6951400009705441,1528.0
9,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,480.0,480.0,348.2,100.0,2026-03-31,2026-06-15,2022-06-01,1,1,0.0,0.7254166666666666,76.0
10,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",861.0,861.37,370.44,58.0,2026-06-21,2026-11-30,2023-10-10,1,1,0.04297328687572643,0.43005909191172204,162.0
11,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",480.0,640.0,512.55,88.0,2021-09-14,2026-07-31,2018-07-27,1,1,33.33333333333333,0.8008593749999999,1781.0
12,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",485.0,,242.51,66.0,2025-09-28,2026-12-31,2023-06-07,0,1,,0.500020618556701,459.0
13,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701126,"Development of Dholera International Greenfield Airport , Gujarat",1305.0,1551.0,966.36,88.0,2026-06-30,2026-09-30,2022-06-14,1,1,18.850574712643677,0.6230560928433269,92.0
14,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],619054,Development of Keshod Airport.,363.0,,108.64,47.0,2027-01-31,,2024-01-12,0,0,,0.29928374655647383,
15,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",2870.0,,746.93,33.0,2027-07-20,2027-07-20,2024-07-04,0,1,,0.26025435540069686,0.0
16,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612194,Development of New Civil Enclave and associated works at Darbhanga Airport,912.0,,426.22,71.0,2026-07-11,2026-11-30,2024-07-03,0,1,,0.4673464912280702,142.0
17,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611495,Development of New Civil Enclave at Bagdogra Airport,1549.0,1549.0,548.3,28.0,2027-03-07,2027-03-06,2024-08-29,1,1,0.0,0.35397030342156227,-1.0
18,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612183,Development of New Civil Enclave at Bihta,1413.0,,15.53,4.0,2027-03-31,,2024-08-28,0,0,,0.010990799716914365,
19,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],618977,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",1507.0,,81.41,14.0,2027-10-19,2027-11-13,2025-08-29,0,1,,0.05402123424021234,25.0
20,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701122,Development of New Integrated Civil Enclave at Agra Airport,579.0,,224.58,45.0,2026-07-04,2026-11-30,2024-06-18,0,1,,0.38787564766839383,149.0
21,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Adani Airport Holdings Limited,706724,Guwahati Airport New Integrated Terminal Building Construction Project,1712.0,2520.0,2670.23,100.0,2025-03-31,2026-06-30,2016-12-01,1,1,47.19626168224299,1.0596150793650794,456.0
22,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611602,"Modernization of Chennai Airport, Phase II, Part 2",1207.0,,331.85,46.0,2025-07-31,2026-12-31,2018-05-14,0,1,,0.27493786246893126,518.0
23,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612791,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",328.0,,153.52,74.0,2025-10-02,2026-08-31,2023-03-04,0,1,,0.4680487804878049,333.0
24,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",500.0,,399.77,80.0,2025-09-11,2026-08-31,2020-12-18,0,1,,0.7995399999999999,354.0
25,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",323.0,,87.61,36.0,2026-06-02,2027-06-30,2023-11-21,0,1,,0.27123839009287926,393.0
26,Coal,Ministry of Coal,SECL - CIL,613800,JAGANNATHPUR OC RCE PROJECT,459.0,,290.4,96.0,2025-03-31,2027-03-31,2016-07-25,0,1,,0.6326797385620915,730.0
27,Coal,Ministry of Coal,NLC India Limited,400142,Pachwara South Coal Block,2243.0,,1432.45,87.0,2028-09-30,,2016-03-10,0,0,,0.6386312973695943,
28,Coal,Ministry of Coal,WCL - CIL,616223,ADASA UG TO OC MINE,316.0,,209.29,86.0,2024-03-31,2027-03-31,2018-11-16,0,1,,0.6623101265822785,1095.0
29,Coal,Ministry of Coal,SECL - CIL,400148,AMADAND OCP[4.0MTY],869.0,,325.09,75.0,2021-03-31,2027-03-31,2016-03-05,0,1,,0.37409666283084003,2191.0
30,Coal,Ministry of Coal,WCL - CIL,616229,AMAL GONDEGAON GHATROHANA EXPN,669.0,,2.95,3.0,2029-03-31,,2024-09-10,0,0,,0.004409566517189835,
31,Coal,Ministry of Coal,Bharat Coking Coal Limited (BCCL),611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,4012.0,,414.97,31.0,2030-03-31,,2023-01-04,0,0,,0.10343220338983052,
32,Coal,Ministry of Coal,WCL - CIL,615185,AMALGAMATED DHANKASA & JAMUNIA,399.0,,117.2,67.0,2027-03-31,,2022-09-19,0,0,,0.293734335839599,
33,Coal,Ministry of Coal,WCL - CIL,616050,AMALGAMATED INDER-KAMPTEE DEEP,236.0,,128.49,99.0,2024-03-31,2027-03-31,2018-09-22,0,1,,0.5444491525423729,1095.0
34,Coal,Ministry of Coal,WCL - CIL,400177,AMALGAMATED YEKONA I & YEKONA,727.0,,564.25,81.0,2025-03-31,2027-03-31,2015-08-12,0,1,,0.7761348005502063,730.0
35,Coal,Ministry of Coal,SECL - CIL,613798,AMERA OC RCE [1.0 MTY],336.0,,91.91,42.0,2026-03-31,,2015-02-04,0,0,,0.2735416666666667,
36,Coal,Ministry of Coal,SECL - CIL,613799,AMGAON OC RCE [1.0 MTY],316.0,,193.0,79.0,2026-03-31,,2015-07-25,0,0,,0.6107594936708861,
